Open,High,Low,Close,Vol.,Change %
4.9,4.95,4.6,4.9,22.67M,0.00%
4.9,5.05,4.7,5.0,21.12M,2.04%
5.0,5.1,4.9,5.05,17.56M,1.00%
5.05,5.1,5.0,5.05,40.44M,0.00%
5.05,5.1,5.0,5.0,10.12M,-0.99%
5.0,5.05,5.0,5.0,18.37M,0.00%
5.0,5.1,5.0,5.05,25.40M,1.00%
5.05,5.1,5.0,5.05,9.54M,0.00%
5.05,5.1,5.0,5.0,54.09M,-0.99%
5.0,5.1,5.0,5.05,38.41M,1.00%
5.05,5.1,5.0,5.05,5.06M,0.00%
5.05,5.1,5.0,5.05,6.41M,0.00%
5.05,5.1,5.0,5.05,15.77M,0.00%
5.05,5.1,5.0,5.05,13.17M,0.00%
5.05,5.1,5.05,5.05,13.61M,0.00%
5.05,5.1,5.05,5.05,8.07M,0.00%
5.05,5.1,5.05,5.05,12.45M,0.00%
5.1,5.15,5.05,5.1,7.63M,0.99%
5.05,5.15,5.05,5.05,595.30K,-0.98%
5.05,5.1,5.0,5.05,1.76M,0.00%
5.0,5.15,5.0,5.1,3.32M,0.99%
5.1,5.25,5.1,5.15,7.25M,0.98%
5.2,5.35,5.15,5.25,4.13M,1.94%
5.2,5.45,5.2,5.35,4.10M,1.90%
5.4,5.85,5.4,5.6,11.00M,4.67%
5.65,6.0,5.5,5.8,13.69M,3.57%
5.8,5.8,5.55,5.6,6.69M,-3.45%
5.6,5.7,5.6,5.6,4.44M,0.00%
5.6,5.7,5.6,5.65,10.96M,0.89%
5.6,5.8,5.55,5.65,11.69M,0.00%
5.65,5.85,5.65,5.75,9.13M,1.77%
5.75,5.8,5.7,5.75,15.91M,0.00%
5.75,5.8,5.75,5.75,13.30M,0.00%
5.75,5.8,5.5,5.75,44.02M,0.00%
5.7,5.75,5.55,5.65,11.70M,-1.74%
5.7,5.75,5.5,5.6,15.44M,-0.88%
5.55,5.7,5.5,5.6,10.71M,0.00%
5.6,5.65,5.35,5.6,8.85M,0.00%
5.6,5.6,5.25,5.4,25.31M,-3.57%
5.25,5.4,5.2,5.3,10.54M,-1.85%
5.3,5.5,5.25,5.3,18.41M,0.00%
5.3,5.5,5.3,5.45,3.67M,2.83%
5.45,5.55,5.4,5.55,110.83M,1.83%
5.45,5.55,5.35,5.5,2.87M,-0.90%
5.5,5.6,5.35,5.4,28.08M,-1.82%
5.4,5.5,5.4,5.4,3.45M,0.00%
5.4,5.5,5.4,5.4,36.27M,0.00%
5.5,5.6,5.5,5.55,18.08M,2.78%
5.55,5.7,5.55,5.65,9.36M,1.80%
5.65,5.75,5.65,5.7,25.57M,0.88%
5.7,5.75,5.55,5.7,20.90M,0.00%
5.55,5.65,5.55,5.6,4.86M,-1.75%
5.6,5.65,5.55,5.55,1.75M,-0.89%
5.75,5.75,5.55,5.55,14.74M,0.00%
5.6,5.7,5.6,5.65,7.96M,1.80%
5.7,5.8,5.65,5.7,62.30M,0.88%
5.7,5.75,5.65,5.7,15.09M,0.00%
5.7,5.75,5.65,5.7,8.58M,0.00%
5.65,5.7,5.65,5.65,1.23M,-0.88%
5.65,5.75,5.65,5.65,3.61M,0.00%
5.7,5.8,5.7,5.75,8.03M,1.77%
5.75,5.8,5.75,5.75,4.40M,0.00%
5.75,5.9,5.75,5.8,6.74M,0.87%
5.85,6.0,5.85,5.95,13.26M,2.59%
5.95,6.0,5.9,5.95,24.04M,0.00%
5.8,6.0,5.8,5.95,23.03M,0.00%
5.9,6.1,5.9,6.0,2.75M,0.84%
6.0,6.5,6.0,6.15,10.04M,2.50%
6.25,6.35,6.15,6.25,24.59M,1.63%
6.3,6.35,6.25,6.25,11.53M,0.00%
6.3,6.4,6.25,6.3,28.09M,0.80%
6.3,6.35,5.9,6.15,3.01M,-2.38%
5.8,6.1,5.8,6.0,18.57M,-2.44%
5.95,6.0,5.9,5.95,6.55M,-0.83%
6.0,6.0,5.85,5.95,10.67M,0.00%
6.0,6.0,5.8,5.85,2.95M,-1.68%
5.85,5.9,5.8,5.8,3.06M,-0.85%
5.85,5.95,5.75,5.8,17.12M,0.00%
5.8,5.85,5.6,5.8,1.71M,0.00%
5.8,6.0,5.8,5.95,9.06M,2.59%
5.95,6.2,5.95,6.0,6.93M,0.84%
6.25,6.5,6.0,6.0,54.84M,0.00%
